gene_ID,gene_name,difference,tstat,logpval,significant
C17orf70,C17orf70,0.3885002890095244,0.3885002890095244,0.6976458402291121,NA
C17orf74,C17orf74,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C17orf75,C17orf75,0.3047416462273977,0.3047416462273977,0.7605629281950683,NA
C17orf77,C17orf77,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C17orf80,C17orf80,0.2679435098891913,0.2679435098891913,0.7887428017226257,NA
C17orf82,C17orf82,-1.627565064478505,-1.627565064478505,1.89638285812393,NA
C17orf85,C17orf85,-0.06676741887926087,-0.06676741887926087,1.053233138523045,NA
C17orf89,C17orf89,0.8931881852786449,0.8931881852786449,0.37175640403399746,NA
C17orf96,C17orf96,-0.4547175158766924,-0.4547175158766924,1.3506875221393593,NA
C17orf97,C17orf97,-0.7231464893059656,-0.7231464893059656,1.530410109852938,NA
C17orf98,C17orf98,-1.8982271701921545,-1.8982271701921545,1.9423338368765855,NA
C17orf99,C17orf99,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C18orf21,C18orf21,0.7164794566888412,0.7164794566888412,0.4736953480028434,NA
C18orf25,C18orf25,0.2731217876500647,0.2731217876500647,0.7847595990902294,NA
C18orf32,C18orf32,1.8913012236869864,1.8913012236869864,0.058584145455539416,NA
C18orf54,C18orf54,-0.41717500211036057,-0.41717500211036057,1.3234495916994904,NA
C18orf61,C18orf61,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C18orf63,C18orf63,-2.7354899556533665,-2.7354899556533665,1.9937712512758052,+
C18orf8,C18orf8,0.3469769742145211,0.3469769742145211,0.7286086173240298,NA
C19orf10,C19orf10,1.3996884787640709,1.3996884787640709,0.1616066253818085,NA
C19orf12,C19orf12,0.00443390033274783,0.00443390033274783,0.9964622709720131,NA
C19orf18,C19orf18,-0.12311355376476424,-0.12311355376476424,1.097982821421297,NA
C19orf24,C19orf24,1.626820687050379,1.626820687050379,0.10377518667968277,NA
C19orf25,C19orf25,0.5024547639847439,0.5024547639847439,0.6153476649328966,NA
C19orf26,C19orf26,-1.700449323962797,-1.700449323962797,1.910953559217388,NA
C19orf33,C19orf33,1.7326193745522231,1.7326193745522231,0.08316334331464793,NA
C19orf35,C19orf35,-2.403918357777444,-2.403918357777444,1.9837796046453693,+
C19orf38,C19orf38,-0.496823386919794,-0.496823386919794,1.3806863984064648,NA
C19orf40,C19orf40,-0.31933791666585937,-0.31933791666585937,1.25052971672267,NA
C19orf43,C19orf43,1.53231711791444,1.53231711791444,0.12544419895078973,NA
C19orf44,C19orf44,-0.20680746807488007,-0.20680746807488007,1.1638397764438893,NA
C19orf45,C19orf45,-0.11570214371951426,-0.11570214371951426,1.092111392777197,NA
C19orf47,C19orf47,-0.7336325017717342,-0.7336325017717342,1.5368272534165788,NA
C19orf48,C19orf48,0.9089495682133032,0.9089495682133032,0.36337674713769136,NA
C19orf52,C19orf52,0.3958146063467579,0.3958146063467579,0.6922418006960989,NA
